,0
using_ip,0.06083599685094981
url_length,0.4997829014527125
shortened_url,0.40055387937592324
at_symbol,0.1430683638425856
double_slash_redirect,0.1349248795578916
prefix_suffix,0.795085788335944
sub_domains,0.48445397139360574
https,0.8805877448594365
domain_registration_length,1.0
favicon,0.8595571696827227
non_standard_port,1.0
https_domain,1.0
request_url,0.6276036901847707
anchor_url,0.5206835534638614
links_in_scripts,0.6333910081198058
server_form_handler,0.5112919597326735
info_email,1.0
abnormal_url,0.3489708620266579
website_forwarding,0.46176086137191397
status_bar_customization,0.5366684852780584
disable_right_click,0.4998703728443013
popup_window,0.5313777344362709
iframe_redirection,0.6368423214483221
age_of_domain,1.0
dns_record,0.7398252881206675
links_pointing_to_page,161.4334915172647
statistical_report,0.023904572186687872
domain_length,4.9192989390068025
entropy,0.5948411941823778
special_chars,1.0
suspicious_tld,0.34588583285339297
