,0
using_ip,0.0
url_length,0.7142857142857143
shortened_url,0.7357142857142858
at_symbol,0.7928571428571428
double_slash_redirect,0.7928571428571428
prefix_suffix,0.5357142857142857
sub_domains,-0.06428571428571428
https,0.37857142857142856
domain_registration_length,0.55
favicon,-0.19285714285714287
non_standard_port,0.7928571428571428
https_domain,0.7928571428571428
request_url,-0.1357142857142857
anchor_url,-0.06428571428571428
links_in_scripts,-0.03571428571428571
server_form_handler,0.5357142857142857
info_email,-0.7928571428571428
abnormal_url,0.7357142857142858
website_forwarding,0.35
status_bar_customization,0.5071428571428571
disable_right_click,0.5642857142857143
popup_window,0.4785714285714286
iframe_redirection,0.3357142857142857
age_of_domain,0.5642857142857143
dns_record,0.4357142857142857
links_pointing_to_page,47.0
statistical_report,0.7928571428571428
domain_length,7.442857142857143
entropy,2.0804558885869
special_chars,0.0
suspicious_tld,0.7357142857142858
