feature,importance
https,2.2804401314322438
website_forwarding,1.0649314256453377
url_length,0.8400051433360034
shortened_url,0.7155058546716053
dns_record,0.6839903969613662
anchor_url,0.6727432109149996
links_pointing_to_page,0.6070972090703339
entropy,0.4381593938639992
sub_domains,0.39505639616125565
favicon,0.36669972388493816
statistical_report,0.3376273107412364
at_symbol,0.3376273107412364
double_slash_redirect,0.3376273107412364
info_email,0.3376273107412364
https_domain,0.3376273107412364
non_standard_port,0.3376273107412364
abnormal_url,0.28659222923337124
suspicious_tld,0.2445505670904536
prefix_suffix,0.23889026404683755
disable_right_click,0.23818940250151804
links_in_scripts,0.174728369530223
iframe_redirection,0.17359489417748733
age_of_domain,0.09228545863506576
request_url,0.07318877296569117
domain_registration_length,0.06780432742415063
popup_window,0.04939036215959083
server_form_handler,0.04190214055885124
status_bar_customization,0.04122577287047155
domain_length,0.006705752674767736
special_chars,0.0
using_ip,0.0
